"店舗名","店舗住所","更新日","レギュラー単価","軽油単価","スタンド名","スタンド住所"
"広島新幹線口店","広島県広島市東区若草町22-9","2025/7/16","167","147","ENEOS セルフ東蟹屋 SS (冨士谷商店)","〒732-0055 広島県広島市東区東蟹屋町4-8"
"富士見町店","広島県広島市中区富士見町12-1","2025/7/16","164","144","apollostation セルフ広島SS（出光リテール販売）","〒730-0043 広島県広島市中区富士見町4-30"
"呉三条店","広島県呉市三条3-3-11","2025/7/16","165","145","ENEOS Dr.Driveセルフ呉駅前SS","〒737-0051 広島県呉市中央1丁目2-17"
"海田店","広島県安芸郡海田町南堀川町1-46","2025/7/16","165","145","昭和金属工業 マサカネ石油岩倉 SS","〒736-0043 広島県安芸郡海田町栄町7-7"
"新白島駅前店","広島県広島市中区白島北町9-14","2025/7/16","176","168","ENEOS Dr.Drive 白島SS （株）HiroNichi","〒730-0005 広島県広島市中区西白島町17-12"
"五日市店","広島県広島市佐伯区吉見園3-19","2025/7/16","171","154","ENEOS 吉見園SS（ENEOSモビリニア）","〒731-5132 広島県広島市佐伯区吉見園3-22"
"観音店","広島県広島市西区観音新町1-3-20","2025/7/16","168","154","apollostation セルフ観音SS（出光リテール販売）","〒733-0035 広島県広島市西区南観音6丁目7-2"
"広島空港店","広島県三原市本郷町善入寺64-153","2025/7/16","178","157","ENEOS 入野 SS (上本石油)","〒739-2208 広島県東広島市河内町入野2461-2"
"東広島店","広島県東広島市西条町寺家6857","2025/7/16","165","145","ENEOS 西条国道 SS (市岡石油店)","〒739-0042 広島県東広島市西条町西条東819-1"
"新尾道駅前店","広島県尾道市栗原町1-6","2025/7/16","182","165","ENEOS 尾道北 SS (細谷石油)","〒722-0022 広島県尾道市栗原町9696-3"
"福山駅前店","広島県福山市三之丸町7-20","2025/7/16","177","157","ENEOS 北本庄 SS (土屋石油)","〒720-0076 広島県福山市本庄町中1丁目5-16"
"福山南店","広島県福山市光南町1-10-27","2025/7/16","170","150","コスモ石油 光南町 SS (内海)","〒720-0814 広島県福山市光南町3丁目8-25"
"福山東店","広島県福山市明神町2-17-11","2025/7/16","170","150","コスモ石油 くじらセルフ24城東 SS (内海)","〒721-0974 広島県福山市東深津町3丁目19-27"
"福山北店","広島県福山市神辺町新道上2丁目10-10","2025/7/16","172","152","ENEOS フジグラン神辺SS","〒720-2107 広島県福山市神辺町新道上2-10 26"
